UK;Artist;Title;SalonDate;SalonNumber;MedalClass;Genre;Technique;Format (WxL);CurrentLocation
674;Daubigny, Charles-François;Le printemps;1857;688;Rappel of 1st class medal;Landscape;;;
677;Daubigny, Charles-François;Vallée d’Optevoz (Isère);1857;689;Rappel of 1st class medal;Landscape;;;
675;Daubigny, Charles-François;Soleil couché;1857;690;Rappel of 1st class medal;Landscape;;;
676;Daubigny, Charles-François;Une futaie de peupliers;1857;691;Rappel of 1st class medal;Landscape;;;
680;Daubigny, Charles-François;Les graves au bord de la mer, à Villerville (Calvados);1859;766;Rappel of 1st class medal;Landscape;;;
678;Daubigny, Charles-François;Les bords de l’Oise;1859;767;Rappel of 1st class medal;Landscape;;;
682;Daubigny, Charles-François;Soleil couchant;1859;768;Rappel of 1st class medal;Landscape;;;
681;Daubigny, Charles-François;Lever de lune;1859;769;Rappel of 1st class medal;Landscape;;;
679;Daubigny, Charles-François;Les champs au printemps;1859;770;Rappel of 1st class medal;Landscape;;;
1723;Daubigny, Karl;"Plateau de Belle-Croix ; forêt de Fontainebleau";1868;655;Unique medal;Landscape;;;
1722;Daubigny, Karl;Les vanneuses à Kérity (Finistère);1868;656;Unique medal;Landscape;;;
1724;Daubigny, Karl;Ferme Saint-Siméon, à Honfleur (Calvados).;1874;524;3rd class medal;Landscape;;;
1725;Daubigny, Karl;"Route de Paris; — Fontainebleau
(Seine-et-Marne).";1874;525;3rd class medal;Landscape;;;
683;Dauzats, Adrien;Intérieur de la cathédrale de Tolède;1848;1093;Rappel of 1st class medal;Landscape;Oil on canvas;108cm x 165cm;
685;Dauzats, Adrien;"Intérieur de Sainte-Eulalie, cathédrale de Barcelonne ; aquarelle";1848;1094;Rappel of 1st class medal;Landscape;Watercolour;119cm x 163cm;Paris, musée du Louvre
684;Dauzats, Adrien;"Intérieur de la mosquée de Cordoue ; aquarelle";1848;1095;Rappel of 1st class medal;Landscape;Watercolour;46cm x 62cm;Castres, musée Goya
686;David, Maxime;"Portrait de Mirza Mohamed-AIi-Khan ; de Mme L... ; de Mme M... ; de M. Vergé ; de M. A. Tinguir ; de la fille de M..... ; de la fille de M. D... ; de la fille de M. B. D... ; des deux fils de M. Amédée Pichot, miniatures";1848;1101;Rappel of 2nd class medal;Portrait;Miniature;;
1726;Dawant, Albert-Pierre;"Henri IV d'Allemagne fait amende honorable devant le pape Grégoire VU, en présence de la princesse Mathilde
(Canossa, 1077).";1880;1013;3rd class medal;History Painting;Oil on canvas;225cm x 175cm;Agen, musée des beaux-arts
1727;Dawant, Albert-Pierre;Méroivig au tombeau de Saint-Martin.;1880;1014;3rd class medal;History Painting;;90cm x 116cm;
2344;Debat-Ponsan, Édouard-Bernard;Le premier deuil;1874;1509;2nd class medal;Genre Painting;;;
2345;Debat-Ponsan, Édouard-Bernard;Portrait du docteur Piéchaud;1874;1510;2nd class medal;Portrait;;;
687;Debon, Hippolyte;Défaite d'Attila dans les plaines de Châlons;1848;1109;Rappel of 2nd class medal;History Painting;;;
690;Dedreux, Alfred;Portraits de M. et Mme A. M. et de leurs deux filles;1848;1124;Rappel of 2nd class medal;Portrait;Oil on canvas;265cm x 200cm;Paris, Petit Palais
689;Dedreux, Alfred;Portrait de Mlle M. M…;1848;1125;Rappel of 2nd class medal;Portrait;Oil on canvas;200cm x 264cm;Detroit, Detroit Institute of Arts
688;Dedreux, Alfred;Amazone en costume de fantaisie;1848;1126;Rappel of 2nd class medal;Portrait;;;
1728;Defaux, Alexandre;Le Chaos, à ViHers-sur-mer (Calvados).;1874;550;3rd class medal;Landscape;;;
1729;Defaux, Alexandre;"Les bouleaux; — forêt de Fontainebleau.";1874;551;3rd class medal;Landscape;Oil on canvas;73cm x 93cm;Carcassone, musée des beaux-arts
1732;Defaux, Alexandre;Le printemps dans les bois, à Auvers (Seine-et-Oise);1875;595;2nd class medal;Landscape;;;
1731;Defaux, Alexandre;La ferme du Vieux-Chêne, à Chérence (Seine-et-Oise);1875;596;2nd class medal;Landscape;;;
1730;Defaux, Alexandre;Environs de Granville (Manche);1875;597;2nd class medal;Landscape;;;
1733;Dehodencq, Alfred;Bohémiens et bohémiennes au retour d’une fête en Andalousie;1853;345;3rd class medal;Genre Painting;Oil on canvas;48cm x 34cm;Chaumont, musée
1734;Dehodencq, Alfred;"La bonne aventure ; bohémiens andaloux";1865;603;Unique medal;Genre Painting;;;
1735;Dehodencq, Alfred;Une fête juive au Maroc;1865;604;Unique medal;Genre Painting;Oil on canvas;90cm x 120cm;
692;Delacroix, Eugène;Le Christ au tombeau;1848;1157;1st class medal;History Painting;Oil on canvas;130cm x 161cm;Boston, Museum of Fine Arts
696;Delacroix, Eugène;Mort de Valentin;1848;1158;1st class medal;History Painting;Oil on canvas;65cm x 82cm;Brenne, Kunsthalle
695;Delacroix, Eugène;Mort de Lara;1848;1159;1st class medal;History Painting;Oil on canvas;65cm x 51cm;Obersdorf, Walter Scharf
691;Delacroix, Eugène;Comédiens ou bouffons arabes;1848;1160;1st class medal;Genre Painting;Oil on canvas;130cm x 96cm;Tours, musée des beaux-arts
693;Delacroix, Eugène;Le lion dans son antre;1848;1161;1st class medal;Genre Painting;Oil on canvas;65cm x 54cm;Oslo, Nasjonalgalleriet
694;Delacroix, Eugène;Lion dévorant une chèvre;1848;1162;1st class medal;Genre Painting;Oil on canvas;35cm x 27cm;New York, J. Barry Donahue
1736;Delacroix, Henri-Eugène;Les anges rebelles;1876;592;3rd class medal;History Painting;;;Cahors, musée Henri Martin
1737;Delanoy, Hippolyte;Chez Don Quichotte;1879;892;3rd class medal;History Painting;Oil on canvas;210cm x 300cm;
1738;Delanoy, Hippolyte;Le Coran;1879;893;3rd class medal;History Painting;;;
1739;Delaunay, Jules;La leçon de flûte;1859;832;3rd class medal;Genre Painting;Oil on canvas;115cm x 160cm;Nantes, musée des beaux-arts
1740;Delaunay, Jules;Le Serment de Brutus (Histoire romaine, Tite-Live, L. 1, § 59);1863;553;2nd class medal;History Painting;Oil on canvas;262cm x 291cm;Tours, musée des beaux-arts
1741;Delaunay, Jules;Mort de la nymphe Hespérie;1863;554;2nd class medal;History Painting;Oil on canvas;140cm x 78cm;Copenhague, Ny Carlsberg Glyptotek
1742;Delaunay, Jules;Portrait de Mme X…;1863;555;2nd class medal;Portrait;;;
1744;Delaunay, Jules;La communion des apôtres (Evangile selon saint Mathieu, chap. XXVI);1865;620;Unique medal;History Painting;Oil on canvas;202cm x 280cm;Nantes, musée des beaux-arts
1743;Delaunay, Jules;Vénus;1865;621;Unique medal;History Painting;;;
1745;Delaunay, Jules;"Portrait de M. P... ; dessin";1865;2414;Unique medal;Portrait;Drawing;;
1746;Delaunay, Jules;Souvenir de Capri, dessin;1865;2415;Unique medal;Genre Painting;Drawing;;
1747;Delobbe, Alfred;Musique champêtre.;1875;575;2nd class medal;Genre Painting;Oil on canvas;99cm x 98cm;Carcassone, musée des beaux-arts
1748;Delobbe, Alfred;"Le retour des champs à Saint-Briac
(llle-et-Vilaine)";1875;576;2nd class medal;Genre Painting;;;
1749;Delobbe, Alfred;"Marie Jeannic; — souxenir de Concarneau
(Finistère).";1875;577;2nd class medal;Portrait;;;
1753;Delort, Charles;L’embarquement de Manon Lescaut;1875;635;3rd class medal;History Painting;;;
1754;Demont, Adrien-Louis;L'août dans le Nord;1879;929;3rd class medal;Landscape;;;
1755;Denneulin, Jules;Triste recette !;1875;645;3rd class medal;Genre Painting;;;
1757;Deschamps, Louis;Portrait du général Chareton, sénateur;1877;689;3rd class medal;Portrait;;;
1756;Deschamps, Louis;La pauvrette;1877;690;3rd class medal;Genre Painting;;;
698;Desgoffe, Alexandre;Oreste tourmenté par les Euménides;1848;1237;Rappel of 2nd class medal;Landscape;;;
697;Desgoffe, Alexandre;"Deux paysages ; même numéro";1848;1238;Rappel of 2nd class medal;Landscape;;;
699;Desgoffe, Alexandre;Le Christ au jardin des Oliviers;1857;730;Rappel of 2nd class medal;Landscape;Oil on canvas;195cm x 260cm;Montauban, musée Ingres
701;Desgoffe, Alexandre;"Les fureurs d’Oreste ; paysage";1857;731;Rappel of 2nd class medal;Landscape;Oil on canvas;229cm x 162cm;Destroyed
702;Desgoffe, Alexandre;"L’écueil ; paysage";1857;732;Rappel of 2nd class medal;Landscape;Oil on canvas;159cm x 116cm;Montauban, musée Ingres
700;Desgoffe, Alexandre;"Le sommeil d’Oreste ; paysage";1857;733;Rappel of 2nd class medal;Landscape;;;
704;Desgoffe, Alexandre;"Paysage ; souvenir de Montmorency";1857;734;Rappel of 2nd class medal;Landscape;;;
703;Desgoffe, Alexandre;"Paysage ; campagne de Rome";1857;735;Rappel of 2nd class medal;Landscape;;;
1758;Desgoffe, Blaise;"Aiguière en argent doré (XVIe siècle), Christ en jaspe sanguin, buste de Vierge en cristal de roche ; marteau de porte, statuette en buis par Jean de Bologne, vase d’émail, etc.";1861;860;3rd class medal;Still Life;Oil on wood;85cm x 113cm;
1759;Desgoffe, Blaise;Coupe en sardoine (XVIe siècle) et poignard de Philippe II;1861;861;3rd class medal;Still Life;Oil on wood;;
1760;Desgoffe, Blaise;Terme avec tête de femme, agate d’Allemagne;1861;862;3rd class medal;Still Life;;;
1761;Desgoffe, Blaise;Vase en agate rouge (XVIe siècle);1861;863;3rd class medal;Still Life;;;
1762;Desgoffe, Blaise;"Vase de cristal de roche du XVIe siècle ; escarcelle de Henri II, émaux de Jean Limosin, etc., objets tirés des collections du musée du Louvre";1863;565;2nd class medal;Still Life;Oil on wood;95cm x 125cm;Paris, musée d'Orsay
1763;Desgoffe, Blaise;"Buste en ivoire du XVIe siècle, agate-onyx, agate d’Allemagne, etc ; objets tirés des collections du musée du Louvre";1863;566;2nd class medal;Still Life;;;
707;Desjobert, Louis-Eugène;"Paysage ; l’automne dans les bois";1857;745;Rappel of 3rd class medal;Landscape;;;
705;Desjobert, Louis-Eugène;Intérieur d’une garenne;1857;746;Rappel of 3rd class medal;Landscape;;;
706;Desjobert, Louis-Eugène;"Le pont rompu ; vue prise à La Flèche (Sarthe)";1857;747;Rappel of 3rd class medal;Landscape;;;
713;Desjobert, Louis-Eugène;"Sous les pommiers ; paysage";1861;870;2nd class medal;Landscape;;;
711;Desjobert, Louis-Eugène;Les paysagistes;1861;871;2nd class medal;Genre Painting;;;
710;Desjobert, Louis-Eugène;Intérieur de bois;1861;872;2nd class medal;Landscape;;;
708;Desjobert, Louis-Eugène;Environs de Granville;1861;873;2nd class medal;Landscape;;;
712;Desjobert, Louis-Eugène;"Prairie au bord de la Marne ; effet de matin";1861;874;2nd class medal;Landscape;;;
709;Desjobert, Louis-Eugène;Etude de forêt en automne;1861;875;2nd class medal;Landscape;;;
715;Desjobert, Louis-Eugène;Saint-Owen’s Bay, Jersey;1863;571;Rappel of 2nd class medal;Landscape;;;
714;Desjobert, Louis-Eugène;Marais au bord de la mer;1863;572;Rappel of 2nd class medal;Landscape;;;
716;Desjobert, Louis-Eugène;Soleil couché, sur la Marne;1863;573;Rappel of 2nd class medal;Landscape;;;
717;Desportes de la Fosse, Emma;Fleurs et fruits;1861;881;Rappel of 2nd class medal;Still Life;;;Amiens, musée de Picardie
1765;Destrem, Casimir;"Le dépiquage ; campagne du Languedoc";1879;983;3rd class medal;Landscape;Oil on canvas;320cm x 220cm;
1764;Destrem, Casimir;Jean Calas;1879;984;3rd class medal;History Painting;;80cm x 65cm;
1766;Detaille, Édouard;"Le repos pendant la manoeuvre ; camp de Saint-Maur, en 1868";1869;743;Unique medal;Genre Painting;Oil on canvas;91cm x 60cm;Philadelphie, Philadelphia Museum of Art
1767;Detaille, Édouard;"Engagement entre les cosaques et les gardes d’honneur ; 1814";1870;839;Unique medal;Genre Painting;Oil on canvas;82cm x 101cm;New York, Metropolitan Museum of Art
1768;Detaille, Édouard;En retraite;1873;477;2nd class medal;Genre Painting;Oil on canvas;160cm x 124cm;Sarasota, John& Mable Ringling Museum
93;Devers, Joseph;"Copie d’une Sainte-Famille de Lucici Bernardin ; émail sur lave. Une Sainte-Famille, d’après Esteban Murillo ; porcelaine";1849;554;3rd class medal;History Painting;Enamel;;
92;Devers, Joseph;"Cadre de deux porcelaines, et d'une miniature ; même numéro : Une tête de Christ, d’après Moralès ; sur porcelaine de Sèvres. Copie d’un portrait de Béranger, d’après Ary Sheffer ; miniature";1849;555;3rd class medal;Portrait;Porcelain;;
718;Devilly, Théodore;Bataille de Ras-Satah;1852;360;3rd class medal;History Painting;;;
719;Devilly, Théodore;Un bivouac en 1812;1857;770;Rappel of 3rd class medal;Genre Painting;;;Metz, musée des beaux-arts
720;Devilly, Théodore;Le marabout de Sidi-Brahim;1859;883;Rappel of 3rd class medal;Genre Painting;Oil on canvas;256cm x 189cm;
721;Devilly, Théodore;Dénoûment de la journée de Solferino;1861;891;Rappel of 3rd class medal;Genre Painting;;;
723;Díaz de la Peña, Narcisse;Départ de Diane pour la chasse;1848;1281;1st class medal;History Painting;Oil on canvas;70cm x 118cm;New York, Metropolitan Museum of Art
726;Díaz de la Peña, Narcisse;Vénus et Adonis;1848;1282;1st class medal;History Painting;Oil on canvas;38cm x 46cm;Caen, musée des beaux-arts
722;Díaz de la Peña, Narcisse;Bohémiens écoutant les prédictions d'une jeune fille;1848;1283;1st class medal;Genre Painting;;;
724;Díaz de la Peña, Narcisse;La promenade;1848;1284;1st class medal;Genre Painting;;;
725;Díaz de la Peña, Narcisse;Meute dans la forêt de Fontainebleau;1848;1285;1st class medal;Genre Painting;Oil on canvas;82cm x 104cm;Copenhague, Ordrupgaard Museum
1769;Didier, Jules;Bords du lac Trasimène (Italie);1866;589;Unique medal;Landscape;;;
1770;Didier, Jules;"Labourage sur les ruines d’Ostie ; campagne de Rome";1866;590;Unique medal;Genre Painting;Oil on canvas;170cm x 110cm;Strasbourg, musée des beaux-arts
1771;Didier, Jules;Chiens courants et chien d’arrêt;1869;758;Unique medal;Genre Painting;;;
1772;Didier, Jules;"Picadors romains conduisant des boeufs ; campagne de Rome";1869;759;Unique medal;Genre Painting;Oil on canvas;219cm x 128cm;
727;Dien, Claude-Marie-François;La Sainte-Famille, d'après le tableau de Raphaël du Musée national du Louvre;1848;5014;Rappel of 1st class medal;History Painting;;;
1773;Doucet, Lucien;Portrait de Mlle Yvonne L…;1879;1029;3rd class medal;Portrait;;;
1774;Doucet, Lucien;Portrait du comte R[obert] de M[ontesqiou] F[ézensac];1879;1030;3rd class medal;Portrait;Oil on canvas;86cm x 130cm;Versailles, musée national du château
1775;Douillard, Alexis-Marie-Louis;Chapelle des R.-P. Barnabites, rue de Monceau, 64 : / Décollation de Saint Paul, apôtre, peinture;1878;;3rd class medal;History Painting;;;
1776;Douillard, Alexis-Marie-Louis;Mort de Saint Louis;1878;2816;3rd class medal;History Painting;;;Paimboeuf, église St Louis
729;Dubasty, Adolphe-Henri;L’armurier de la ville de Liège;1857;810;Rappel of 3rd class medal;Genre Painting;;;
728;Dubasty, Adolphe-Henri;Saltimbanques;1857;811;Rappel of 3rd class medal;Genre Painting;;;
1777;Dubois, Hippolyte;Erigone;1868;840;Unique medal;History Painting;Oil on canvas;130cm x 220cm;Nantes, musée des beaux-arts
1779;Dubois, Paul;"Portraits de ""mes enfants""";1876;696;1st class medal;Portrait;;;
1778;Dubois, Paul;Portrait de Mme ***;1876;697;1st class medal;Portrait;;;
1781;Dubufe, Guillaume;Mort d'Adonis;1877;752;3rd class medal;History Painting;Oil on canvas;;
1780;Dubufe, Guillaume;Etude;1877;753;3rd class medal;NK;;;
1783;Dubufe, Guillaume;"Un charmeur ; aquarelle";1877;2627;3rd class medal;Genre Painting;Watercolour;;
1782;Dubufe, Guillaume;"Portrait de Mlle J. G..
Portrait de Mlle J. G..";1877;2628;3rd class medal;Portrait;;;
1785;Dubufe, Guillaume;Sainte Cécile;1878;801;2nd class medal;History Painting;Oil on canvas;170cm x 298cm;Clermont Ferrand, musée Bargoin
1784;Dubufe, Guillaume;Avril;1878;802;2nd class medal;NK;Oil on canvas;110cm x 220cm;
1786;Duez, Ernest-Ange;Splendeur et misère.;1874;644;3rd class medal;History Painting;Oil on canvas;102cm x 192cm;Paris, musée des Arts décoratifs
1787;Duez, Ernest-Ange;"Saint Cuthbert ; triptyque";1879;1072;1st class medal;History Painting;Oil on canvas;680cm x 335cm;Paris, musée d'Orsay
734;Dumas, Michel;Un des derniers actes de dévouement de l’abbé Bouloy, curé d’Oussoy (Loiret), pendant le choléra de 1854;1857;837;3rd class medal;History Painting;Oil on canvas;192cm x 245cm;Montargis, Eglise de la Madeleine
732;Dumas, Michel;Mater purissima;1857;838;3rd class medal;History Painting;;;
730;Dumas, Michel;Les saintes femmes au tombeau;1857;839;3rd class medal;History Painting;;;
731;Dumas, Michel;Mater dolorosa;1857;840;3rd class medal;History Painting;Oil on canvas;280cm x 470cm;Paris, église de la Trinité
733;Dumas, Michel;Portrait de M. Alphonse Balleydier;1857;841;3rd class medal;Portrait;;;
735;Dumas, Michel;Portrait de M. E. d’A…;1861;954;Rappel of 3rd class medal;Portrait;;;
736;Dumas, Michel;Portrait de Mlle A. de G…;1861;955;Rappel of 3rd class medal;Portrait;;;
737;Dumas, Michel;Portrait du jeune S. de G…;1861;956;Rappel of 3rd class medal;Portrait;;;
739;Dumas, Michel;Salvator mundi;1863;625;1st class medal;History Painting;;;
738;Dumas, Michel;"Le domino ; souvenir du carnaval de Rome";1863;626;1st class medal;Genre Painting;;;
1788;Dupain, Edmond;La Jeunesse et la Mort;1875;723;3rd class medal;History Painting;;;
1789;Dupain, Edmond;Le bon Samaritain;1877;765;1st class medal;History Painting;;;Destroyed
1790;Dupain, Edmond;Saint Gervais et Saint Protais conduits au martyre;1877;766;1st class medal;History Painting;;;
1792;Dupray, Henry-Louis;"Une grand’garde (1870) ; environs de Paris";1872;564;2nd class medal;Genre Painting;;;
1791;Dupray, Henry-Louis;Fusiliers marins de la division Pothuau : siége de Paris;1872;565;2nd class medal;Genre Painting;;;
1793;Dupray, Henry-Louis;Une visite aux avant-postes.;1874;653;2nd class medal;Genre Painting;Oil on canvas;210cm x 130cm;Grenoble, musée des beaux-arts
1794;Dupré, Julien;Faucheurs de luzerne;1880;1296;3rd class medal;Genre Painting;;150cm x 115cm;
1795;Dupré, Julien;Glaneuses;1880;1297;3rd class medal;Genre Painting;Oil on canvas;130cm x 65cm;
743;Dupré, Victor;Vue du Berry;1849;613;3rd class medal;Landscape;;;
740;Dupré, Victor;Bords de l’Oise;1849;614;3rd class medal;Landscape;;;
742;Dupré, Victor;Idem [Bords de l’Oise];1849;615;3rd class medal;Landscape;;;
741;Dupré, Victor;Bords du Sauceron;1849;616;3rd class medal;Landscape;;;
1796;Duran, Carolus;"L’assassiné ; souvenir de la campagne romaine";1866;646;Unique medal;Genre Painting;;;Lille, palais des Beaux-arts
1797;Duran, Carolus;Portrait de M. Edouard R…;1866;647;Unique medal;Portrait;Oil on canvas;76cm x 96cm;
1798;Duran, Carolus;"Margarett ; souvenir de Bretagne";1869;842;Unique medal;Portrait;Oil on canvas;164cm x 228cm;Paris, musée d'Orsay
1800;Duran, Carolus;Portrait de Mme ***;1869;843;Unique medal;Portrait;;;
1799;Duran, Carolus;"Le Christ mort ; gouache";1869;2707;Unique medal;History Painting;;;
1802;Duran, Carolus;Portrait de Mme [Feydeau];1870;942;Unique medal;Portrait;Oil on canvas;164cm x 230cm;Lille, palais des Beaux-arts
1801;Duran, Carolus;Portrait de Marguerite ***;1870;943;Unique medal;Portrait;;;
1804;Duran, Carolus;Portrait de Mme la comtesse [Berta] V[andal];1879;1118;Medal of honor;Portrait;Oil on canvas;193cm x 226cm;
1803;Duran, Carolus;Portrait d'enfant;1879;1119;Medal of honor;Portrait;;;
2605;Duran, Pauline;"Portrait de Mme *** ; pastel";1875;;3rd class medal;Portrait;Pastel;;
95;Durand, Simon;Un mariage à la mairie. L’époux se fait attendre ! …;1875;742;3rd class medal;Genre Painting;;;
94;Durand, Simon;Un bout de conduite;1875;743;3rd class medal;Genre Painting;;;
744;Duvaux, Antoine-Jules;Charge de cuirassiers sous la République;1848;1497;2nd class medal;Genre Painting;;;
752;Duvaux, Antoine-Jules;"Types militaires ; général républicain et cuirassiers de l'Empire";1848;1498;2nd class medal;Genre Painting;;;
746;Duvaux, Antoine-Jules;Deux pastels (sujets militaires);1848;1499;2nd class medal;Genre Painting;Pastel;;
750;Duvaux, Antoine-Jules;"Love ; étude au pastel";1848;1500;2nd class medal;NK;Pastel;;
748;Duvaux, Antoine-Jules;"Le dernier coup de feu ; idem [étude au pastel]";1848;1501;2nd class medal;Genre Painting;Pastel;;
749;Duvaux, Antoine-Jules;"Le premier coup de feu ; idem [étude au pastel]";1848;1502;2nd class medal;Genre Painting;Pastel;;
745;Duvaux, Antoine-Jules;"Cheval en liberté ; idem [étude au pastel]";1848;1503;2nd class medal;Genre Painting;Pastel;;
751;Duvaux, Antoine-Jules;"Trois dessins à la sanguine ; même numéro";1848;1504;2nd class medal;NK;Drawing;;
755;Duveau, Louis;Portrait de M. S..., architecte;1848;1505;2nd class medal;Portrait;;;
753;Duveau, Louis;Idem [Portrait] de Mme S…;1848;1506;2nd class medal;Portrait;;;
754;Duveau, Louis;La rencontre;1848;1507;2nd class medal;Genre Painting;;;
756;Duveau, Louis;"Une messe en mer ; 1793";1864;651;Unique medal;Genre Painting;Oil on canvas;350cm x 187cm;Rennes, musée des beaux-arts
1806;Duverger, Théophile-Emmanuel;La gamelle du grand-papa;1861;1012;Rappel of 3rd class medal;Genre Painting;;;
1808;Duverger, Théophile-Emmanuel;L’attente;1861;1013;Rappel of 3rd class medal;Genre Painting;;;
1809;Duverger, Théophile-Emmanuel;L’écharde;1861;1014;Rappel of 3rd class medal;Genre Painting;;;
1805;Duverger, Théophile-Emmanuel;La convalescence;1861;1015;Rappel of 3rd class medal;Genre Painting;;;
1807;Duverger, Théophile-Emmanuel;Les dames de Charité;1861;1016;Rappel of 3rd class medal;Genre Painting;;;
1812;Duverger, Théophile-Emmanuel;Les derniers sacrements;1863;644;Rappel of 3rd class medal;Genre Painting;;;
1811;Duverger, Théophile-Emmanuel;Les bohémiens;1863;645;Rappel of 3rd class medal;Genre Painting;;;
1810;Duverger, Théophile-Emmanuel;La recette de l’aveugle;1863;646;Rappel of 3rd class medal;Genre Painting;;;
1813;Duverger, Théophile-Emmanuel;La paralytique;1865;751;Unique medal;Genre Painting;;;
1814;Duverger, Théophile-Emmanuel;Le laboureur et ses enfants;1865;752;Unique medal;Genre Painting;;;
1815;Edelfelt, Albert;Le convoi d'un enfant (Finlande).;1880;1333;3rd class medal;Genre Painting;;204cm x 120cm;
1816;Edelfelt, Albert;Portrait de M. Koechlin-Schwartz , maire du VIIIè arrondissement.;1880;1334;3rd class medal;Portrait;;98cm x 115cm;
1817;Ehrmann, François;La sirène et les pêcheurs;1865;756;Unique medal;History Painting;;;Destroyed
1820;Ehrmann, François;"Un vainqueur ; panneau décoratif";1868;923;Unique medal;Genre Painting;;66cm x 52cm;Aubusson, musée départemental de la tapisserie
1819;Ehrmann, François;L’Etoile du matin;1868;924;Unique medal;History Painting;;;
1818;Ehrmann, François;"Les amoureux ; faïence";1868;2852;Unique medal;Genre Painting;;;
1821;Ehrmann, François;La Grèce, Rome, les Barbares, le Moyen âge.;1874;683;3rd class medal;History Painting;;;
1822;Ehrmann, François;"La Fontaine de Jouvence, d'après le tableau de Tauteur ;—aquarelle.";1874;2116;3rd class medal;History Painting;Watercolour;;
1823;Escallier, Éléonore;"Fleurs et oiseaux ; faïence";1868;2858;Unique medal;Still Life;;;
1824;Escallier, Éléonore;"Fleurs et oiseaux ; faïence";1868;2859;Unique medal;Still Life;;;
1825;Faivre, Tony;"Le colin-maillard ; plafond";1864;671;Unique medal;Genre Painting;;;
1826;Faivre, Tony;"Portrait de Mme R... ; dessin";1864;2163;Unique medal;Portrait;Drawing;;
767;Faivre-Duffer, Louis;Portrait de M. ...;1861;1052;Rappel of 3rd class medal;Portrait;;;
769;Faivre-Duffer, Louis;"Portrait de Mme ... ; miniature à l’huile";1861;1053;Rappel of 3rd class medal;Portrait;Miniature;;
768;Faivre-Duffer, Louis;"Portrait de Mlle ... ; pastel";1861;1054;Rappel of 3rd class medal;Portrait;Pastel;;
766;Faivre-Duffer, Louis;Portrait de Mme B. A…;1850-1851;1030;3rd class medal;Portrait;;;
765;Faivre-Duffer, Louis;Portrait;1850-1851;1031;3rd class medal;Portrait;;;
764;Faivre-Duffer, Louis;Idem [Portrait] des enfants de M. D…;1850-1851;1032;3rd class medal;Portrait;;;
762;Faivre-Duffer, Louis;Idem [Portrait] de Mme la comtesse de la R…;1850-1851;1033;3rd class medal;Portrait;;;
763;Faivre-Duffer, Louis;Idem [Portrait] de Mme la comtesse M. de L…;1850-1851;1034;3rd class medal;Portrait;;;
759;Faivre-Duffer, Louis;"Idem [Portrait] de Mlle C. D... ; pastel";1850-1851;1035;3rd class medal;Portrait;Pastel;;
761;Faivre-Duffer, Louis;"Idem [Portrait] de Mlle L. de la M... ; idem";1850-1851;1036;3rd class medal;Portrait;;;
758;Faivre-Duffer, Louis;"Idem [Portrait] de M. G. B... ; idem";1850-1851;1037;3rd class medal;Portrait;;;
760;Faivre-Duffer, Louis;"Idem [Portrait] de Mlle L. de C... ; idem";1850-1851;1038;3rd class medal;Portrait;;;
757;Faivre-Duffer, Louis;Etude d’une tête de Christ;1850-1851;1039;3rd class medal;History Painting;;;
1827;Falguière, Alexandre;Lutteurs;1875;782;2nd class medal;Genre Painting;Oil on canvas;179cm x 231cm;Paris, musée d'Orsay
1828;Fantin-Latour, Henri;La lecture;1870;999;Unique medal;Genre Painting;Oil on canvas;130cm x 97cm;Lyon, musée des beaux-arts
1829;Fantin-Latour, Henri;Un atelier aux Batignolles;1870;1000;Unique medal;Genre Painting;Oil on canvas;274cm x 204cm;Paris, musée d'Orsay
1830;Fantin-Latour, Henri;Portrait de Mlle E[dith] C[rowe];1875;783;2nd class medal;Portrait;Oil on canvas;59cm x 73cm;
1831;Fantin-Latour, Henri;Portraits de M. et de Mme E. E…;1875;784;2nd class medal;Portrait;;;
97;Faruffini, Federico;Première entrevue de Machiavel et de César Borgia;1866;686;Unique medal;History Painting;;;
96;Faruffini, Federico;Charles Quint et son fils Don Juan à Saint-Yuste (Mignet, Charles Quint);1866;687;Unique medal;History Painting;;;
1832;Faure, Eugène;Eve;1864;681;Unique medal;History Painting;Oil on canvas;41cm x 73cm;Grenoble, musée des beaux-arts
1833;Faure, Eugène;Portrait de Mme B…;1864;682;Unique medal;Portrait;;;
1834;Faure, Eugène;Portrait de Mme D …;1872;606;2nd class medal;Portrait;;;
1835;Faure, Eugène;Portrait de Mme J …;1872;607;2nd class medal;Portrait;;;
772;Fauvelet, Jean;Nonchalance;1848;1616;2nd class medal;Genre Painting;;;
774;Fauvelet, Jean;Promenade au bois;1848;1617;2nd class medal;Genre Painting;;;
770;Fauvelet, Jean;Fleurs et chardons;1848;1618;2nd class medal;Still Life;;;
771;Fauvelet, Jean;Nature morte;1848;1619;2nd class medal;Still Life;;;
773;Fauvelet, Jean;Portrait de M. M…;1848;1620;2nd class medal;Portrait;;;
1837;Favard, Antoine;"Souvenir d’Italie ; aquarelle";1867;1751;Unique medal;Landscape;Watercolour;;
1836;Favard, Antoine;"Etudes d’après les maîtres italiens ; aquarelle";1867;1752;Unique medal;NK;Watercolour;;
1839;Ferrier, Gabriel;David;1876;779;2nd class medal;History Painting;;;
1838;Ferrier, Gabriel;Bethsabée;1876;780;2nd class medal;History Painting;;;
1841;Ferrier, Gabriel;Sainte Agnès, martyre;1878;889;1st class medal;History Painting;;;
1840;Ferrier, Gabriel;Portrait de Mlle de R…;1878;890;1st class medal;Portrait;;;
